tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
2.0,0.5,0.1111111111111111,0.1111111111111111,0.544468,0.0586868748064599
2.0,0.5,0.1111111111111111,0.16666666666666666,0.468016,0.058274828659641904
2.0,0.5,0.1111111111111111,0.2222222222222222,0.40401800000000004,0.05444198320294862
2.0,0.5,0.1111111111111111,0.2777777777777778,0.35194600000000004,0.0476178748792513
2.0,0.5,0.1111111111111111,0.3333333333333333,0.30676400000000004,0.040853326579180435
2.0,0.5,0.1111111111111111,0.38888888888888884,0.27466199999999996,0.03720807220583389
2.0,0.5,0.1111111111111111,0.4444444444444444,0.24957400000000002,0.032564357798021984
2.0,0.5,0.1111111111111111,0.5,0.230658,0.026862543223918952
2.0,0.5,0.2222222222222222,0.0,0.697872,0.0525194459262548
2.0,0.5,0.2222222222222222,0.05555555555555555,0.6202260000000002,0.06065982321359509
2.0,0.5,0.2222222222222222,0.1111111111111111,0.5492740000000002,0.06280758321268248
2.0,0.5,0.2222222222222222,0.16666666666666666,0.47484,0.06476885369386766
2.0,0.5,0.2222222222222222,0.2222222222222222,0.402824,0.05857948562656167
2.0,0.5,0.2222222222222222,0.2777777777777778,0.344178,0.05131495654807731
2.0,0.5,0.2222222222222222,0.3333333333333333,0.29758799999999996,0.04586097157089951
2.0,0.5,0.2222222222222222,0.38888888888888884,0.26215200000000005,0.03999384842477212
2.0,0.5,0.2222222222222222,0.4444444444444444,0.23071599999999998,0.0345355578137521
2.0,0.5,0.2222222222222222,0.5,0.208998,0.03019094205161422
2.0,0.5,0.3333333333333333,0.0,0.6991300000000001,0.051866959260456466
2.0,0.5,0.3333333333333333,0.05555555555555555,0.6259880000000001,0.06312144238670371
2.0,0.5,0.3333333333333333,0.1111111111111111,0.547174,0.06248613252166459
2.0,0.5,0.3333333333333333,0.16666666666666666,0.47599,0.06529257339300207
2.0,0.5,0.3333333333333333,0.2222222222222222,0.40197400000000005,0.06500964414349096
2.0,0.5,0.3333333333333333,0.2777777777777778,0.33610199999999996,0.057970101443094314
2.0,0.5,0.3333333333333333,0.3333333333333333,0.28479,0.04810194897288446
2.0,0.5,0.3333333333333333,0.38888888888888884,0.23821199999999998,0.041985337835801356
2.0,0.5,0.3333333333333333,0.4444444444444444,0.21725400000000003,0.03332077478187037
2.0,0.5,0.3333333333333333,0.5,0.201118,0.02705735161750141
2.0,0.5,0.4444444444444444,0.0,0.6969099999999999,0.051152468660859374
2.0,0.5,0.4444444444444444,0.05555555555555555,0.631794,0.05889292246639885
2.0,0.5,0.4444444444444444,0.1111111111111111,0.5577300000000001,0.06578492542236139
2.0,0.5,0.4444444444444444,0.16666666666666666,0.47804800000000003,0.06755706929124772
2.0,0.5,0.4444444444444444,0.2222222222222222,0.397668,0.0670908050947111
2.0,0.5,0.4444444444444444,0.2777777777777778,0.327472,0.0648819894972576
2.0,0.5,0.4444444444444444,0.3333333333333333,0.265836,0.05411615489334845
2.0,0.5,0.4444444444444444,0.38888888888888884,0.235036,0.039915325006076065
2.0,0.5,0.4444444444444444,0.4444444444444444,0.215134,0.03272855573839828
2.0,0.5,0.4444444444444444,0.5,0.202326,0.02697976165717845
2.0,0.5,0.5555555555555556,0.0,0.699292,0.049085491817990656
2.0,0.5,0.5555555555555556,0.05555555555555555,0.63475,0.060690247257895145
2.0,0.5,0.5555555555555556,0.1111111111111111,0.5629559999999999,0.06620507751356502
2.0,0.5,0.5555555555555556,0.16666666666666666,0.47872000000000003,0.07979275259529194
2.0,0.5,0.5555555555555556,0.2222222222222222,0.38823,0.08022341736292947
2.0,0.5,0.5555555555555556,0.2777777777777778,0.31103,0.06998062357074779
2.0,0.5,0.5555555555555556,0.3333333333333333,0.26475,0.05393151877552559
2.0,0.5,0.5555555555555556,0.38888888888888884,0.236172,0.04052874998257781
2.0,0.5,0.5555555555555556,0.4444444444444444,0.216556,0.032735578507190013
2.0,0.5,0.5555555555555556,0.5,0.203226,0.026547173651025744
2.0,0.5,0.6666666666666666,0.0,0.701538,0.05063964161213239
2.0,0.5,0.6666666666666666,0.05555555555555555,0.6401720000000001,0.060863380765748404
2.0,0.5,0.6666666666666666,0.1111111111111111,0.5707819999999999,0.07298092151933698
2.0,0.5,0.6666666666666666,0.16666666666666666,0.485114,0.08152576220930176
2.0,0.5,0.6666666666666666,0.2222222222222222,0.391466,0.09033192435188253
2.0,0.5,0.6666666666666666,0.2777777777777778,0.30730799999999997,0.06951104016924808
2.0,0.5,0.6666666666666666,0.3333333333333333,0.262058,0.052290143949970315
2.0,0.5,0.6666666666666666,0.38888888888888884,0.23328800000000002,0.0387669292775585
2.0,0.5,0.6666666666666666,0.4444444444444444,0.21842599999999998,0.03328447440583892
2.0,0.5,0.6666666666666666,0.5,0.20418400000000003,0.02933720312118979
2.0,0.5,0.7777777777777777,0.0,0.700834,0.05005910778814471
2.0,0.5,0.7777777777777777,0.05555555555555555,0.643712,0.060292050210929746
2.0,0.5,0.7777777777777777,0.1111111111111111,0.575594,0.07398535550809578
2.0,0.5,0.7777777777777777,0.16666666666666666,0.487976,0.09258424871553714
2.0,0.5,0.7777777777777777,0.2222222222222222,0.395972,0.0953657405200099
2.0,0.5,0.7777777777777777,0.2777777777777778,0.313544,0.07030571706272119
2.0,0.5,0.7777777777777777,0.3333333333333333,0.26220599999999994,0.04813932231248599
2.0,0.5,0.7777777777777777,0.38888888888888884,0.234316,0.03746341092741868
2.0,0.5,0.7777777777777777,0.4444444444444444,0.213814,0.031981761523410195
2.0,0.5,0.7777777777777777,0.5,0.20412799999999998,0.026176134091801716
2.0,0.5,0.8888888888888888,0.0,0.6979200000000001,0.05054946187836607
2.0,0.5,0.8888888888888888,0.05555555555555555,0.64771,0.06198239697744949
2.0,0.5,0.8888888888888888,0.1111111111111111,0.584674,0.07871925537206678
2.0,0.5,0.8888888888888888,0.16666666666666666,0.49321,0.09894822586992458
2.0,0.5,0.8888888888888888,0.2222222222222222,0.391522,0.08595980276491312
2.0,0.5,0.8888888888888888,0.2777777777777778,0.308226,0.06915252031656015
2.0,0.5,0.8888888888888888,0.3333333333333333,0.2662,0.05049022207368572
2.0,0.5,0.8888888888888888,0.38888888888888884,0.23399799999999998,0.03589566817859748
2.0,0.5,0.8888888888888888,0.4444444444444444,0.214406,0.031200835698689117
2.0,0.5,0.8888888888888888,0.5,0.204066,0.025848208909083337
2.0,0.5,1.0,0.0,0.696596,0.05801538031165021
2.0,0.5,1.0,0.05555555555555555,0.656016,0.05954513405795607
2.0,0.5,1.0,0.1111111111111111,0.590148,0.08400277989483515
2.0,0.5,1.0,0.16666666666666666,0.496564,0.10326655735394431
2.0,0.5,1.0,0.2222222222222222,0.39512400000000003,0.09485286899991498
2.0,0.5,1.0,0.2777777777777778,0.31477999999999995,0.07210446385221118
2.0,0.5,1.0,0.3333333333333333,0.26174800000000004,0.04848990655874841
2.0,0.5,1.0,0.38888888888888884,0.235608,0.03893206580050679
2.0,0.5,1.0,0.4444444444444444,0.21694400000000003,0.030733140350957686
2.0,0.5,1.0,0.5,0.20291399999999998,0.026956927790677924
2.0,1.0,0.0,0.0,0.70348,0.04852396057103128
