tau,delay,p,q,prob_large,mean_R_inf,std_R_inf
2,0.5,0.2222222222222222,0.2777777777777778,1.0,0.541716,0.0551425620787649
2,0.5,0.2222222222222222,0.3333333333333333,0.944,0.454444,0.06362375967498873
2,0.5,0.2222222222222222,0.38888888888888884,0.656,0.37872400000000006,0.06033627173389974
2,0.5,0.2222222222222222,0.4444444444444444,0.26,0.31868399999999997,0.04860198303588119
2,0.5,0.2222222222222222,0.5,0.036,0.273148,0.043089498902431564
2,0.5,0.3333333333333333,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.3333333333333333,0.05555555555555555,1.0,0.858788,0.02924798856915406
2,0.5,0.3333333333333333,0.1111111111111111,1.0,0.804916,0.0366373323330442
2,0.5,0.3333333333333333,0.16666666666666666,1.0,0.735304,0.04585654670275564
2,0.5,0.3333333333333333,0.2222222222222222,1.0,0.6568120000000001,0.05363562039447667
2,0.5,0.3333333333333333,0.2777777777777778,1.0,0.561616,0.06584804022601148
2,0.5,0.3333333333333333,0.3333333333333333,0.928,0.458824,0.0664942023018476
2,0.5,0.3333333333333333,0.38888888888888884,0.6,0.36343600000000004,0.06591729867842158
2,0.5,0.3333333333333333,0.4444444444444444,0.148,0.293868,0.051613042932995255
2,0.5,0.3333333333333333,0.5,0.016,0.253444,0.03933675616445984
2,0.5,0.4444444444444444,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.4444444444444444,0.05555555555555555,1.0,0.858348,0.029039422311622706
2,0.5,0.4444444444444444,0.1111111111111111,1.0,0.812828,0.03717156597816501
2,0.5,0.4444444444444444,0.16666666666666666,1.0,0.7528879999999999,0.041934202811808
2,0.5,0.4444444444444444,0.2222222222222222,1.0,0.6729919999999999,0.05825273780559494
2,0.5,0.4444444444444444,0.2777777777777778,0.996,0.5718759999999999,0.06954958809956586
2,0.5,0.4444444444444444,0.3333333333333333,0.888,0.46002,0.08863174343188285
2,0.5,0.4444444444444444,0.38888888888888884,0.5,0.35397199999999995,0.07518578873237439
2,0.5,0.4444444444444444,0.4444444444444444,0.128,0.291244,0.05153577600885951
2,0.5,0.4444444444444444,0.5,0.004,0.253164,0.041157561681107104
2,0.5,0.5555555555555556,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.5555555555555556,0.05555555555555555,1.0,0.863204,0.030267787163237383
2,0.5,0.5555555555555556,0.1111111111111111,1.0,0.8195319999999999,0.03517736151351047
2,0.5,0.5555555555555556,0.16666666666666666,1.0,0.764972,0.04504057982891985
2,0.5,0.5555555555555556,0.2222222222222222,1.0,0.695084,0.05554546008942751
2,0.5,0.5555555555555556,0.2777777777777778,0.98,0.593436,0.08499339629438642
2,0.5,0.5555555555555556,0.3333333333333333,0.848,0.45764,0.09395370987030573
2,0.5,0.5555555555555556,0.38888888888888884,0.56,0.360908,0.0736118901911236
2,0.5,0.5555555555555556,0.4444444444444444,0.124,0.29092,0.05315395537387176
2,0.5,0.5555555555555556,0.5,0.016,0.2566279999999999,0.03878570535337777
2,0.5,0.6666666666666666,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.6666666666666666,0.05555555555555555,1.0,0.8676679999999999,0.029936039179675543
2,0.5,0.6666666666666666,0.1111111111111111,1.0,0.831764,0.03457481707693641
2,0.5,0.6666666666666666,0.16666666666666666,1.0,0.778588,0.04326218583118017
2,0.5,0.6666666666666666,0.2222222222222222,1.0,0.7142719999999999,0.06152857121943609
2,0.5,0.6666666666666666,0.2777777777777778,0.984,0.60256,0.0931624999966322
2,0.5,0.6666666666666666,0.3333333333333333,0.868,0.460712,0.09248773421335219
2,0.5,0.6666666666666666,0.38888888888888884,0.548,0.357024,0.07046471833563575
2,0.5,0.6666666666666666,0.4444444444444444,0.132,0.293632,0.04879965369552547
2,0.5,0.6666666666666666,0.5,0.008,0.25425600000000004,0.039724837505765054
2,0.5,0.7777777777777777,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.7777777777777777,0.05555555555555555,1.0,0.8688040000000001,0.029734257824156538
2,0.5,0.7777777777777777,0.1111111111111111,1.0,0.8362080000000001,0.037055650323311484
2,0.5,0.7777777777777777,0.16666666666666666,1.0,0.7936880000000001,0.04825716185896898
2,0.5,0.7777777777777777,0.2222222222222222,1.0,0.734028,0.05770805919787585
2,0.5,0.7777777777777777,0.2777777777777778,0.988,0.6076800000000001,0.09005719735357481
2,0.5,0.7777777777777777,0.3333333333333333,0.892,0.462604,0.0931771167419198
2,0.5,0.7777777777777777,0.38888888888888884,0.492,0.35682,0.07493849955036086
2,0.5,0.7777777777777777,0.4444444444444444,0.156,0.293864,0.05350026746170428
2,0.5,0.7777777777777777,0.5,0.004,0.25364800000000004,0.03901153284323901
2,0.5,0.8888888888888888,0.0,1.0,0.8944000000000001,0.022963739532866467
2,0.5,0.8888888888888888,0.05555555555555555,1.0,0.8730240000000001,0.026986524675404668
2,0.5,0.8888888888888888,0.1111111111111111,1.0,0.845376,0.033622679284212253
