R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.125,1.5,1.5,0.84,0.44,1.0,0.337536
1.125,1.5,1.5,0.275,0.47,1.0,0.33031600000000005
1.125,1.5,1.5,0.055,0.36,1.0,0.34942600000000007
1.125,1.5,1.5,0.5,0.305,0.992,0.38833000000000006
1.125,1.5,1.5,0.615,0.415,1.0,0.34460199999999996
1.125,1.5,2.0,0.945,0.25,0.93,0.416344
1.125,1.5,2.0,0.84,0.44,1.0,0.337536
1.125,1.5,2.0,0.275,0.47,1.0,0.33031600000000005
1.125,1.5,2.0,0.055,0.36,1.0,0.34942600000000007
1.125,1.5,2.0,0.5,0.305,0.992,0.38833000000000006
1.125,1.5,2.0,0.615,0.415,1.0,0.34460199999999996
1.125,2.0,0.0,0.945,0.25,1.0,0.32174800000000003
1.125,2.0,0.0,0.84,0.44,1.0,0.320616
1.125,2.0,0.0,0.275,0.47,1.0,0.331886
1.125,2.0,0.0,0.055,0.36,0.998,0.384812
1.125,2.0,0.0,0.5,0.305,0.994,0.34089600000000003
1.125,2.0,0.0,0.615,0.415,1.0,0.32065999999999995
1.125,2.0,0.25,0.945,0.25,0.9,0.408494
1.125,2.0,0.25,0.84,0.44,1.0,0.353664
1.125,2.0,0.25,0.275,0.47,1.0,0.353988
1.125,2.0,0.25,0.055,0.36,0.998,0.388286
1.125,2.0,0.25,0.5,0.305,0.97,0.390108
1.125,2.0,0.25,0.615,0.415,0.998,0.357254
1.125,2.0,0.5,0.945,0.25,0.762,0.45253999999999994
1.125,2.0,0.5,0.84,0.44,0.994,0.373638
1.125,2.0,0.5,0.275,0.47,1.0,0.367042
1.125,2.0,0.5,0.055,0.36,0.996,0.390758
1.125,2.0,0.5,0.5,0.305,0.938,0.414642
1.125,2.0,0.5,0.615,0.415,0.984,0.380636
1.125,2.0,0.75,0.945,0.25,0.66,0.47201599999999994
1.125,2.0,0.75,0.84,0.44,0.99,0.382654
1.125,2.0,0.75,0.275,0.47,0.998,0.37399400000000005
1.125,2.0,0.75,0.055,0.36,0.992,0.392164
1.125,2.0,0.75,0.5,0.305,0.886,0.42938800000000005
1.125,2.0,0.75,0.615,0.415,0.984,0.391298
1.125,2.0,1.0,0.945,0.25,0.584,0.481842
1.125,2.0,1.0,0.84,0.44,0.98,0.38856399999999996
1.125,2.0,1.0,0.275,0.47,0.998,0.380168
1.125,2.0,1.0,0.055,0.36,0.992,0.392216
1.125,2.0,1.0,0.5,0.305,0.878,0.43590200000000007
1.125,2.0,1.0,0.615,0.415,0.972,0.39655599999999996
1.125,2.0,1.25,0.945,0.25,0.618,0.48125599999999996
1.125,2.0,1.25,0.84,0.44,0.988,0.39076199999999994
1.125,2.0,1.25,0.275,0.47,0.996,0.38126
1.125,2.0,1.25,0.055,0.36,0.988,0.39077999999999996
1.125,2.0,1.25,0.5,0.305,0.856,0.44160400000000005
1.125,2.0,1.25,0.615,0.415,0.976,0.3992379999999999
1.125,2.0,1.5,0.945,0.25,0.656,0.473286
1.125,2.0,1.5,0.84,0.44,0.982,0.39027000000000006
1.125,2.0,1.5,0.275,0.47,0.996,0.381882
1.125,2.0,1.5,0.055,0.36,0.986,0.393644
1.125,2.0,1.5,0.5,0.305,0.856,0.440748
1.125,2.0,1.5,0.615,0.415,0.978,0.396878
1.125,2.0,2.0,0.945,0.25,0.786,0.454368
1.125,2.0,2.0,0.84,0.44,0.996,0.383216
1.125,2.0,2.0,0.275,0.47,0.998,0.37601999999999997
1.125,2.0,2.0,0.055,0.36,0.994,0.39344999999999997
1.125,2.0,2.0,0.5,0.305,0.93,0.42445799999999995
1.125,2.0,2.0,0.615,0.415,0.992,0.38995399999999997
1.25,0.5,0.0,0.945,0.25,1.0,0.139012
1.25,0.5,0.0,0.84,0.44,1.0,0.139012
1.25,0.5,0.0,0.275,0.47,1.0,0.145008
1.25,0.5,0.0,0.055,0.36,1.0,0.256534
1.25,0.5,0.0,0.5,0.305,1.0,0.14896199999999998
1.25,0.5,0.0,0.615,0.415,1.0,0.139012
1.25,0.5,0.25,0.945,0.25,0.996,0.313346
1.25,0.5,0.25,0.84,0.44,1.0,0.19945400000000002
1.25,0.5,0.25,0.275,0.47,1.0,0.192068
1.25,0.5,0.25,0.055,0.36,1.0,0.264346
1.25,0.5,0.25,0.5,0.305,1.0,0.261322
1.25,0.5,0.25,0.615,0.415,1.0,0.208286
1.25,0.5,0.5,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,0.5,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,0.5,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,0.5,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,0.5,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,0.5,0.615,0.415,1.0,0.234276
1.25,0.5,0.75,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,0.75,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,0.75,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,0.75,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,0.75,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,0.75,0.615,0.415,1.0,0.234276
1.25,0.5,1.0,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,1.0,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,1.0,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,1.0,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,1.0,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,1.0,0.615,0.415,1.0,0.234276
1.25,0.5,1.25,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,1.25,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,1.25,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,1.25,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,1.25,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,1.25,0.615,0.415,1.0,0.234276
1.25,0.5,1.5,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,1.5,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,1.5,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,1.5,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,1.5,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,1.5,0.615,0.415,1.0,0.234276
1.25,0.5,2.0,0.945,0.25,0.994,0.3483200000000001
1.25,0.5,2.0,0.84,0.44,1.0,0.22401999999999997
1.25,0.5,2.0,0.275,0.47,1.0,0.21487400000000004
1.25,0.5,2.0,0.055,0.36,1.0,0.26594799999999996
1.25,0.5,2.0,0.5,0.305,1.0,0.2984300000000001
1.25,0.5,2.0,0.615,0.415,1.0,0.234276
1.25,1.0,0.0,0.945,0.25,0.992,0.230976
1.25,1.0,0.0,0.84,0.44,1.0,0.224334
1.25,1.0,0.0,0.275,0.47,1.0,0.247816
1.25,1.0,0.0,0.055,0.36,1.0,0.33334199999999997
1.25,1.0,0.0,0.5,0.305,1.0,0.27473000000000003
1.25,1.0,0.0,0.615,0.415,1.0,0.224418
1.25,1.0,0.25,0.945,0.25,0.862,0.413076
1.25,1.0,0.25,0.84,0.44,1.0,0.28539
1.25,1.0,0.25,0.275,0.47,1.0,0.28213800000000006
1.25,1.0,0.25,0.055,0.36,1.0,0.338286
1.25,1.0,0.25,0.5,0.305,0.984,0.35581799999999997
1.25,1.0,0.25,0.615,0.415,1.0,0.29537199999999997
1.25,1.0,0.5,0.945,0.25,0.768,0.45123599999999997
1.25,1.0,0.5,0.84,0.44,1.0,0.31174599999999997
1.25,1.0,0.5,0.275,0.47,1.0,0.30098
1.25,1.0,0.5,0.055,0.36,1.0,0.341214
1.25,1.0,0.5,0.5,0.305,0.952,0.3932
1.25,1.0,0.5,0.615,0.415,1.0,0.321694
1.25,1.0,0.75,0.945,0.25,0.726,0.45625800000000005
1.25,1.0,0.75,0.84,0.44,1.0,0.32135
1.25,1.0,0.75,0.275,0.47,1.0,0.30971
1.25,1.0,0.75,0.055,0.36,1.0,0.3420160000000001
1.25,1.0,0.75,0.5,0.305,0.954,0.40243799999999996
1.25,1.0,0.75,0.615,0.415,1.0,0.331774
1.25,1.0,1.0,0.945,0.25,0.864,0.44332000000000005
1.25,1.0,1.0,0.84,0.44,1.0,0.3214580000000001
1.25,1.0,1.0,0.275,0.47,1.0,0.30873400000000006
1.25,1.0,1.0,0.055,0.36,1.0,0.342498
1.25,1.0,1.0,0.5,0.305,0.976,0.39500599999999997
1.25,1.0,1.0,0.615,0.415,1.0,0.33112400000000003
1.25,1.0,1.25,0.945,0.25,0.864,0.44332000000000005
1.25,1.0,1.25,0.84,0.44,1.0,0.3214580000000001
1.25,1.0,1.25,0.275,0.47,1.0,0.30873400000000006
1.25,1.0,1.25,0.055,0.36,1.0,0.342498
1.25,1.0,1.25,0.5,0.305,0.976,0.39500599999999997
1.25,1.0,1.25,0.615,0.415,1.0,0.33112400000000003
1.25,1.0,1.5,0.945,0.25,0.864,0.44332000000000005
1.25,1.0,1.5,0.84,0.44,1.0,0.3214580000000001
1.25,1.0,1.5,0.275,0.47,1.0,0.30873400000000006
1.25,1.0,1.5,0.055,0.36,1.0,0.342498
1.25,1.0,1.5,0.5,0.305,0.976,0.39500599999999997
1.25,1.0,1.5,0.615,0.415,1.0,0.33112400000000003
1.25,1.0,2.0,0.945,0.25,0.864,0.44332000000000005
1.25,1.0,2.0,0.84,0.44,1.0,0.3214580000000001
1.25,1.0,2.0,0.275,0.47,1.0,0.30873400000000006
1.25,1.0,2.0,0.055,0.36,1.0,0.342498
1.25,1.0,2.0,0.5,0.305,0.976,0.39500599999999997
1.25,1.0,2.0,0.615,0.415,1.0,0.33112400000000003
1.25,1.5,0.0,0.945,0.25,0.978,0.31736800000000004
1.25,1.5,0.0,0.84,0.44,1.0,0.30219
1.25,1.5,0.0,0.275,0.47,1.0,0.32933799999999996
1.25,1.5,0.0,0.055,0.36,0.976,0.394658
1.25,1.5,0.0,0.5,0.305,0.99,0.35719399999999996
1.25,1.5,0.0,0.615,0.415,1.0,0.302652
1.25,1.5,0.25,0.945,0.25,0.644,0.46875
1.25,1.5,0.25,0.84,0.44,0.996,0.36009199999999997
1.25,1.5,0.25,0.275,0.47,0.998,0.358106
1.25,1.5,0.25,0.055,0.36,0.974,0.39974400000000004
1.25,1.5,0.25,0.5,0.305,0.896,0.4177139999999999
1.25,1.5,0.25,0.615,0.415,0.992,0.36816
1.25,1.5,0.5,0.945,0.25,0.402,0.5198820000000001
1.25,1.5,0.5,0.84,0.44,0.97,0.386562
1.25,1.5,0.5,0.275,0.47,0.99,0.37166999999999994
1.25,1.5,0.5,0.055,0.36,0.972,0.40159000000000006
1.25,1.5,0.5,0.5,0.305,0.752,0.453534
1.25,1.5,0.5,0.615,0.415,0.966,0.396914
1.25,1.5,0.75,0.945,0.25,0.318,0.5319380000000001
1.25,1.5,0.75,0.84,0.44,0.966,0.397544
1.25,1.5,0.75,0.275,0.47,0.992,0.381898
1.25,1.5,0.75,0.055,0.36,0.982,0.40336400000000006
1.25,1.5,0.75,0.5,0.305,0.702,0.46549199999999996
1.25,1.5,0.75,0.615,0.415,0.942,0.4078340000000001
1.25,1.5,1.0,0.945,0.25,0.36,0.521894
1.25,1.5,1.0,0.84,0.44,0.974,0.39783
1.25,1.5,1.0,0.275,0.47,0.994,0.38479399999999997
1.25,1.5,1.0,0.055,0.36,0.974,0.40351800000000004
1.25,1.5,1.0,0.5,0.305,0.68,0.471428
1.25,1.5,1.0,0.615,0.415,0.952,0.411826
1.25,1.5,1.25,0.945,0.25,0.456,0.507406
1.25,1.5,1.25,0.84,0.44,0.984,0.395786
1.25,1.5,1.25,0.275,0.47,0.988,0.38459799999999994
1.25,1.5,1.25,0.055,0.36,0.98,0.40395600000000004
1.25,1.5,1.25,0.5,0.305,0.71,0.46651
1.25,1.5,1.25,0.615,0.415,0.968,0.40566800000000003
1.25,1.5,1.5,0.945,0.25,0.554,0.49038800000000005
1.25,1.5,1.5,0.84,0.44,0.992,0.390154
1.25,1.5,1.5,0.275,0.47,0.994,0.38148799999999994
1.25,1.5,1.5,0.055,0.36,0.97,0.404794
1.25,1.5,1.5,0.5,0.305,0.806,0.452948
1.25,1.5,1.5,0.615,0.415,0.982,0.399992
1.25,1.5,2.0,0.945,0.25,0.554,0.49038800000000005
1.25,1.5,2.0,0.84,0.44,0.992,0.390154
1.25,1.5,2.0,0.275,0.47,0.994,0.38148799999999994
1.25,1.5,2.0,0.055,0.36,0.97,0.404794
1.25,1.5,2.0,0.5,0.305,0.806,0.452948
