R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.25,6.0,0.25,0.275,0.47,0.028,0.61881
1.25,6.0,0.25,0.055,0.36,0.024,0.6244879999999999
1.25,6.0,0.25,0.5,0.305,0.026,0.6210979999999999
1.25,6.0,0.25,0.615,0.415,0.03,0.619676
1.25,6.0,0.5,0.945,0.25,0.022,0.62729
1.25,6.0,0.5,0.84,0.44,0.03,0.6214000000000001
1.25,6.0,0.5,0.275,0.47,0.03,0.620736
1.25,6.0,0.5,0.055,0.36,0.024,0.6256120000000001
1.25,6.0,0.5,0.5,0.305,0.024,0.6253320000000001
1.25,6.0,0.5,0.615,0.415,0.028,0.6219020000000001
1.25,6.0,0.75,0.945,0.25,0.018,0.6302840000000001
1.25,6.0,0.75,0.84,0.44,0.024,0.6233520000000001
1.25,6.0,0.75,0.275,0.47,0.026,0.622562
1.25,6.0,0.75,0.055,0.36,0.024,0.6264120000000001
1.25,6.0,0.75,0.5,0.305,0.02,0.6276479999999999
1.25,6.0,0.75,0.615,0.415,0.026,0.624106
1.25,6.0,1.0,0.945,0.25,0.024,0.631512
1.25,6.0,1.0,0.84,0.44,0.026,0.62403
1.25,6.0,1.0,0.275,0.47,0.026,0.623586
1.25,6.0,1.0,0.055,0.36,0.022,0.6266919999999999
1.25,6.0,1.0,0.5,0.305,0.02,0.629554
1.25,6.0,1.0,0.615,0.415,0.024,0.6249480000000001
1.25,6.0,1.25,0.945,0.25,0.02,0.634046
1.25,6.0,1.25,0.84,0.44,0.03,0.6255219999999999
1.25,6.0,1.25,0.275,0.47,0.026,0.624306
1.25,6.0,1.25,0.055,0.36,0.024,0.626966
1.25,6.0,1.25,0.5,0.305,0.022,0.630794
1.25,6.0,1.25,0.615,0.415,0.026,0.62626
1.25,6.0,1.5,0.945,0.25,0.016,0.635518
1.25,6.0,1.5,0.84,0.44,0.026,0.62572
1.25,6.0,1.5,0.275,0.47,0.026,0.62476
1.25,6.0,1.5,0.055,0.36,0.026,0.62688
1.25,6.0,1.5,0.5,0.305,0.02,0.6323520000000001
1.25,6.0,1.5,0.615,0.415,0.024,0.627008
1.25,6.0,2.0,0.945,0.25,0.016,0.638346
1.25,6.0,2.0,0.84,0.44,0.022,0.627288
1.25,6.0,2.0,0.275,0.47,0.026,0.62567
1.25,6.0,2.0,0.055,0.36,0.024,0.6267440000000001
1.25,6.0,2.0,0.5,0.305,0.016,0.633906
1.25,6.0,2.0,0.615,0.415,0.022,0.627732
1.3125,5.5,0.0,0.945,0.25,0.006,0.6498619999999999
1.3125,5.5,0.0,0.84,0.44,0.006,0.6498619999999999
1.3125,5.5,0.0,0.275,0.47,0.006,0.6498619999999999
1.3125,5.5,0.0,0.055,0.36,0.006,0.660096
1.3125,5.5,0.0,0.5,0.305,0.006,0.6498619999999999
1.3125,5.5,0.0,0.615,0.415,0.006,0.6498619999999999
1.3125,5.5,0.25,0.945,0.25,0.004,0.6588919999999999
1.3125,5.5,0.25,0.84,0.44,0.006,0.65465
1.3125,5.5,0.25,0.275,0.47,0.006,0.6540779999999999
1.3125,5.5,0.25,0.055,0.36,0.004,0.6616859999999999
1.3125,5.5,0.25,0.5,0.305,0.006,0.65727
1.3125,5.5,0.25,0.615,0.415,0.006,0.655046
1.3125,5.5,0.5,0.945,0.25,0.004,0.6649459999999999
1.3125,5.5,0.5,0.84,0.44,0.006,0.6574180000000001
1.3125,5.5,0.5,0.275,0.47,0.004,0.656982
1.3125,5.5,0.5,0.055,0.36,0.004,0.662764
1.3125,5.5,0.5,0.5,0.305,0.004,0.66185
1.3125,5.5,0.5,0.615,0.415,0.004,0.65839
1.3125,5.5,0.75,0.945,0.25,0.004,0.6691800000000001
1.3125,5.5,0.75,0.84,0.44,0.004,0.660116
1.3125,5.5,0.75,0.275,0.47,0.004,0.658998
1.3125,5.5,0.75,0.055,0.36,0.004,0.662798
1.3125,5.5,0.75,0.5,0.305,0.004,0.665088
1.3125,5.5,0.75,0.615,0.415,0.004,0.660716
1.3125,5.5,1.0,0.945,0.25,0.004,0.6712539999999999
1.3125,5.5,1.0,0.84,0.44,0.004,0.661304
1.3125,5.5,1.0,0.275,0.47,0.004,0.6603420000000001
1.3125,5.5,1.0,0.055,0.36,0.004,0.6634880000000001
1.3125,5.5,1.0,0.5,0.305,0.004,0.668172
1.3125,5.5,1.0,0.615,0.415,0.004,0.6622619999999999
1.3125,5.5,1.25,0.945,0.25,0.004,0.674398
1.3125,5.5,1.25,0.84,0.44,0.004,0.6619680000000001
1.3125,5.5,1.25,0.275,0.47,0.004,0.661008
1.3125,5.5,1.25,0.055,0.36,0.004,0.6634500000000001
1.3125,5.5,1.25,0.5,0.305,0.004,0.669818
1.3125,5.5,1.25,0.615,0.415,0.004,0.663178
1.3125,5.5,1.5,0.945,0.25,0.004,0.6763120000000001
1.3125,5.5,1.5,0.84,0.44,0.004,0.6631779999999999
1.3125,5.5,1.5,0.275,0.47,0.004,0.6616600000000001
1.3125,5.5,1.5,0.055,0.36,0.004,0.663902
1.3125,5.5,1.5,0.5,0.305,0.004,0.6706400000000001
1.3125,5.5,1.5,0.615,0.415,0.004,0.664164
1.3125,5.5,2.0,0.945,0.25,0.004,0.680498
1.3125,5.5,2.0,0.84,0.44,0.004,0.6648660000000001
1.3125,5.5,2.0,0.275,0.47,0.004,0.662802
1.3125,5.5,2.0,0.055,0.36,0.004,0.66372
1.3125,5.5,2.0,0.5,0.305,0.006,0.673462
1.3125,5.5,2.0,0.615,0.415,0.004,0.666556
1.3125,6.0,0.0,0.945,0.25,0.004,0.66074
1.3125,6.0,0.0,0.84,0.44,0.004,0.66074
1.3125,6.0,0.0,0.275,0.47,0.004,0.66074
1.3125,6.0,0.0,0.055,0.36,0.004,0.66726
