p,q,tau,R0,critical_delay,status
0.5,0.305,4.5,1.4375,0.0,always_outbreak
0.5,0.305,4.5,1.5,0.0,always_outbreak
0.5,0.305,4.5,1.75,0.0,always_outbreak
0.5,0.305,5.0,1.125,0.0,always_outbreak
0.5,0.305,5.0,1.25,0.0,always_outbreak
0.5,0.305,5.0,1.3125,0.0,always_outbreak
0.5,0.305,5.0,1.375,0.0,always_outbreak
0.5,0.305,5.0,1.4375,0.0,always_outbreak
0.5,0.305,5.0,1.5,0.0,always_outbreak
0.5,0.305,5.0,1.75,0.0,always_outbreak
0.5,0.305,5.5,1.125,0.0,always_outbreak
0.5,0.305,5.5,1.25,0.0,always_outbreak
0.5,0.305,5.5,1.3125,0.0,always_outbreak
0.5,0.305,5.5,1.375,0.0,always_outbreak
0.5,0.305,5.5,1.4375,0.0,always_outbreak
0.5,0.305,5.5,1.5,0.0,always_outbreak
0.5,0.305,5.5,1.75,0.0,always_outbreak
0.5,0.305,6.0,1.125,0.0,always_outbreak
0.5,0.305,6.0,1.25,0.0,always_outbreak
0.5,0.305,6.0,1.3125,0.0,always_outbreak
0.5,0.305,6.0,1.375,0.0,always_outbreak
0.5,0.305,6.0,1.4375,0.0,always_outbreak
0.5,0.305,6.0,1.5,0.0,always_outbreak
0.5,0.305,6.0,1.75,0.0,always_outbreak
0.615,0.415,2.5,1.125,,always_dieout
0.615,0.415,2.5,1.25,0.5854892643435411,crossed
0.615,0.415,2.5,1.3125,0.18650723614542902,crossed
0.615,0.415,2.5,1.375,0.0039270604826074605,crossed
0.615,0.415,2.5,1.4375,0.0,always_outbreak
0.615,0.415,2.5,1.5,0.0,always_outbreak
0.615,0.415,2.5,1.75,0.0,always_outbreak
0.615,0.415,3.0,1.125,,always_dieout
0.615,0.415,3.0,1.25,0.18849536075335865,crossed
0.615,0.415,3.0,1.3125,0.0,always_outbreak
0.615,0.415,3.0,1.375,0.0,always_outbreak
0.615,0.415,3.0,1.4375,0.0,always_outbreak
0.615,0.415,3.0,1.5,0.0,always_outbreak
0.615,0.415,3.0,1.75,0.0,always_outbreak
0.615,0.415,3.5,1.125,,always_dieout
0.615,0.415,3.5,1.25,0.0,always_outbreak
0.615,0.415,3.5,1.3125,0.0,always_outbreak
0.615,0.415,3.5,1.375,0.0,always_outbreak
0.615,0.415,3.5,1.4375,0.0,always_outbreak
0.615,0.415,3.5,1.5,0.0,always_outbreak
0.615,0.415,3.5,1.75,0.0,always_outbreak
0.615,0.415,4.0,1.125,1.1712447844228124,crossed
0.615,0.415,4.0,1.25,0.0,always_outbreak
0.615,0.415,4.0,1.3125,0.0,always_outbreak
0.615,0.415,4.0,1.375,0.0,always_outbreak
0.615,0.415,4.0,1.4375,0.0,always_outbreak
0.615,0.415,4.0,1.5,0.0,always_outbreak
0.615,0.415,4.0,1.75,0.0,always_outbreak
0.615,0.415,4.5,1.125,0.3136392708666442,crossed
0.615,0.415,4.5,1.25,0.0,always_outbreak
0.615,0.415,4.5,1.3125,0.0,always_outbreak
0.615,0.415,4.5,1.375,0.0,always_outbreak
0.615,0.415,4.5,1.4375,0.0,always_outbreak
0.615,0.415,4.5,1.5,0.0,always_outbreak
0.615,0.415,4.5,1.75,0.0,always_outbreak
0.615,0.415,5.0,1.125,0.0,always_outbreak
0.615,0.415,5.0,1.25,0.0,always_outbreak
0.615,0.415,5.0,1.3125,0.0,always_outbreak
0.615,0.415,5.0,1.375,0.0,always_outbreak
0.615,0.415,5.0,1.4375,0.0,always_outbreak
0.615,0.415,5.0,1.5,0.0,always_outbreak
0.615,0.415,5.0,1.75,0.0,always_outbreak
0.615,0.415,5.5,1.125,0.0,always_outbreak
0.615,0.415,5.5,1.25,0.0,always_outbreak
0.615,0.415,5.5,1.3125,0.0,always_outbreak
0.615,0.415,5.5,1.375,0.0,always_outbreak
0.615,0.415,5.5,1.4375,0.0,always_outbreak
0.615,0.415,5.5,1.5,0.0,always_outbreak
0.615,0.415,5.5,1.75,0.0,always_outbreak
0.615,0.415,6.0,1.125,0.0,always_outbreak
0.615,0.415,6.0,1.25,0.0,always_outbreak
0.615,0.415,6.0,1.3125,0.0,always_outbreak
0.615,0.415,6.0,1.375,0.0,always_outbreak
0.615,0.415,6.0,1.4375,0.0,always_outbreak
0.615,0.415,6.0,1.5,0.0,always_outbreak
0.615,0.415,6.0,1.75,0.0,always_outbreak
0.84,0.44,2.5,1.125,,always_dieout
0.84,0.44,2.5,1.25,0.7852504638218931,crossed
0.84,0.44,2.5,1.3125,0.2110150026877774,crossed
0.84,0.44,2.5,1.375,0.014453939141309427,crossed
0.84,0.44,2.5,1.4375,0.0,always_outbreak
0.84,0.44,2.5,1.5,0.0,always_outbreak
0.84,0.44,2.5,1.75,0.0,always_outbreak
0.84,0.44,3.0,1.125,,always_dieout
