R0,tau,delay,p,q,prob_dieout,mean_R_inf
1.25,4.0,0.75,0.055,0.36,0.106,0.579678
1.25,4.0,1.0,0.055,0.36,0.098,0.5804400000000001
1.25,4.0,1.25,0.055,0.36,0.102,0.580722
1.25,4.0,1.5,0.055,0.36,0.104,0.5810360000000001
1.25,4.0,2.0,0.055,0.36,0.09,0.58123
1.3125,4.0,0.0,0.055,0.36,0.026,0.6205499999999999
1.3125,4.0,0.25,0.055,0.36,0.028,0.623184
1.3125,4.0,0.5,0.055,0.36,0.024,0.623606
1.3125,4.0,0.75,0.055,0.36,0.026,0.6244760000000001
1.3125,4.0,1.0,0.055,0.36,0.026,0.624122
1.3125,4.0,1.25,0.055,0.36,0.026,0.6248159999999999
1.3125,4.0,1.5,0.055,0.36,0.024,0.62541
1.3125,4.0,2.0,0.055,0.36,0.022,0.626254
1.375,4.0,0.0,0.055,0.36,0.004,0.6557280000000001
1.375,4.0,0.25,0.055,0.36,0.004,0.6584159999999999
1.375,4.0,0.5,0.055,0.36,0.004,0.658648
1.375,4.0,0.75,0.055,0.36,0.002,0.659906
1.375,4.0,1.0,0.055,0.36,0.002,0.6597540000000001
1.375,4.0,1.25,0.055,0.36,0.004,0.65957
1.375,4.0,1.5,0.055,0.36,0.004,0.6607639999999999
1.375,4.0,2.0,0.055,0.36,0.004,0.6607260000000001
1.4375,4.0,0.0,0.055,0.36,0.0,0.6907920000000001
1.4375,4.0,0.25,0.055,0.36,0.0,0.692624
1.4375,4.0,0.5,0.055,0.36,0.0,0.6938979999999999
1.4375,4.0,0.75,0.055,0.36,0.0,0.693822
1.4375,4.0,1.0,0.055,0.36,0.0,0.6946559999999999
1.4375,4.0,1.25,0.055,0.36,0.0,0.6943879999999999
1.4375,4.0,1.5,0.055,0.36,0.0,0.694662
1.4375,4.0,2.0,0.055,0.36,0.0,0.6946180000000001
1.5,4.0,0.0,0.055,0.36,0.0,0.721574
1.5,4.0,0.25,0.055,0.36,0.0,0.723288
1.5,4.0,0.5,0.055,0.36,0.0,0.7238640000000001
1.5,4.0,0.75,0.055,0.36,0.0,0.725008
1.5,4.0,1.0,0.055,0.36,0.0,0.724352
1.5,4.0,1.25,0.055,0.36,0.0,0.725152
1.5,4.0,1.5,0.055,0.36,0.0,0.7247380000000001
1.5,4.0,2.0,0.055,0.36,0.0,0.724784
1.75,4.0,0.0,0.055,0.36,0.0,0.82067
1.75,4.0,0.25,0.055,0.36,0.0,0.8219759999999999
