p,q,tau,R0,is_monotonic,max_drop,n_violating_steps,n_delay_points
0.5,0.305,2.5,1.25,True,-0.0011399999999998078,0,8
0.5,0.305,2.5,1.3125,True,-0.0014920000000000488,0,8
0.5,0.305,2.5,1.375,True,-0.000144000000000033,0,8
0.5,0.305,2.5,1.4375,True,0.0005159999999999609,0,8
0.5,0.305,2.5,1.5,True,0.0010019999999999474,0,8
0.5,0.305,2.5,1.75,True,-0.0004699999999998594,0,8
0.5,0.305,3.0,1.125,True,0.0014379999999999948,0,8
0.5,0.305,3.0,1.25,True,0.0012400000000000189,0,8
0.5,0.305,3.0,1.3125,True,-0.0007679999999999909,0,8
0.5,0.305,3.0,1.375,True,7.999999999996898e-05,0,8
0.5,0.305,3.0,1.4375,True,0.0014420000000001654,0,8
0.5,0.305,3.0,1.5,True,0.00039400000000000546,0,8
0.5,0.305,3.0,1.75,True,0.0010240000000000249,0,8
0.5,0.305,3.5,1.125,True,0.0012399999999999078,0,8
0.5,0.305,3.5,1.25,True,0.0012720000000000509,0,8
0.5,0.305,3.5,1.3125,True,0.0007540000000000324,0,8
0.5,0.305,3.5,1.375,True,0.0009959999999998859,0,8
0.5,0.305,3.5,1.4375,True,0.00045199999999989693,0,8
0.5,0.305,3.5,1.5,True,0.0006299999999999084,0,8
0.5,0.305,3.5,1.75,True,-2.599999999997049e-05,0,8
0.5,0.305,4.0,1.125,True,0.0019380000000001063,0,8
0.5,0.305,4.0,1.25,True,2.0000000000020002e-05,0,8
0.5,0.305,4.0,1.3125,True,0.00023399999999995647,0,8
0.5,0.305,4.0,1.375,True,-8.000000000008001e-05,0,8
0.5,0.305,4.0,1.4375,True,0.0013539999999999663,0,8
0.5,0.305,4.0,1.5,True,0.00034799999999990394,0,8
0.5,0.305,4.0,1.75,True,0.00014999999999976144,0,8
0.5,0.305,4.5,1.125,True,0.0022260000000001723,0,8
0.5,0.305,4.5,1.25,True,0.0022880000000000678,0,8
0.5,0.305,4.5,1.3125,True,0.0005739999999999634,0,8
0.5,0.305,4.5,1.375,True,0.0009019999999999584,0,8
0.5,0.305,4.5,1.4375,True,0.0008399999999999519,0,8
0.5,0.305,4.5,1.5,True,0.0009120000000000239,0,8
0.5,0.305,4.5,1.75,True,0.00024199999999996447,0,8
0.5,0.305,5.0,1.125,True,0.0017719999999999958,0,8
0.5,0.305,5.0,1.25,True,0.0012380000000000724,0,8
0.5,0.305,5.0,1.3125,True,0.0008920000000001149,0,8
0.5,0.305,5.0,1.375,True,0.00019000000000002348,0,8
0.5,0.305,5.0,1.4375,True,0.0010040000000000049,0,8
0.5,0.305,5.0,1.5,True,0.0005219999999999114,0,8
0.5,0.305,5.0,1.75,True,7.399999999990747e-05,0,8
0.5,0.305,5.5,1.125,True,0.0011179999999999524,0,8
0.5,0.305,5.5,1.25,True,0.00030799999999997496,0,8
0.5,0.305,5.5,1.3125,True,0.0008220000000001004,0,8
0.5,0.305,5.5,1.375,True,0.0012720000000000509,0,8
0.5,0.305,5.5,1.4375,True,0.0008380000000000054,0,8
0.5,0.305,5.5,1.5,True,0.0007540000000000324,0,8
0.5,0.305,5.5,1.75,True,0.00025399999999997647,0,8
0.5,0.305,6.0,1.125,True,0.0010860000000001424,0,8
0.5,0.305,6.0,1.25,True,0.0012400000000000189,0,8
0.5,0.305,6.0,1.3125,True,0.0008359999999999479,0,8
0.5,0.305,6.0,1.375,True,0.0009979999999999434,0,8
0.5,0.305,6.0,1.4375,True,0.00036000000000002697,0,8
0.5,0.305,6.0,1.5,True,0.0006660000000001665,0,8
0.5,0.305,6.0,1.75,True,-0.00013799999999986046,0,8
0.615,0.415,2.5,1.125,True,-0.003711999999999993,0,8
0.615,0.415,2.5,1.25,False,-0.007551999999999892,1,8
0.615,0.415,2.5,1.3125,False,-0.010322000000000053,1,8
0.615,0.415,2.5,1.375,False,-0.013289999999999913,1,8
0.615,0.415,2.5,1.4375,False,-0.014692000000000038,1,8
0.615,0.415,2.5,1.5,False,-0.016052000000000177,1,8
0.615,0.415,2.5,1.75,False,-0.015033999999999992,1,8
0.615,0.415,3.0,1.125,True,0.000656000000000101,0,8
0.615,0.415,3.0,1.25,True,-0.0027760000000001117,0,8
0.615,0.415,3.0,1.3125,False,-0.0050560000000000604,1,8
0.615,0.415,3.0,1.375,False,-0.005269999999999886,1,8
0.615,0.415,3.0,1.4375,True,-0.0043039999999999745,0,8
0.615,0.415,3.0,1.5,False,-0.005832000000000059,1,8
0.615,0.415,3.0,1.75,True,-0.00029399999999990545,0,8
0.615,0.415,3.5,1.125,True,0.0012879999999999558,0,8
0.615,0.415,3.5,1.25,True,5.3999999999998494e-05,0,8
0.615,0.415,3.5,1.3125,True,0.0011440000000000339,0,8
0.615,0.415,3.5,1.375,True,0.000596000000000152,0,8
0.615,0.415,3.5,1.4375,True,0.0006400000000000849,0,8
0.615,0.415,3.5,1.5,True,0.0012040000000000939,0,8
0.615,0.415,3.5,1.75,True,-0.000296000000000074,0,8
0.615,0.415,4.0,1.125,True,0.0024240000000000927,0,8
0.615,0.415,4.0,1.25,True,0.0019499999999998963,0,8
0.615,0.415,4.0,1.3125,True,0.00309399999999993,0,8
0.615,0.415,4.0,1.375,True,0.0022000000000000908,0,8
0.615,0.415,4.0,1.4375,True,0.0022759999999999447,0,8
0.615,0.415,4.0,1.5,True,0.0010100000000000664,0,8
0.615,0.415,4.0,1.75,True,0.00033600000000000296,0,8
0.615,0.415,4.5,1.125,True,0.0018019999999998593,0,8
0.615,0.415,4.5,1.25,True,0.0023359999999998937,0,8
0.615,0.415,4.5,1.3125,True,0.0022820000000000062,0,8
0.615,0.415,4.5,1.375,True,0.0021079999999998877,0,8
0.615,0.415,4.5,1.4375,True,0.002381999999999884,0,8
0.615,0.415,4.5,1.5,True,0.0011919999999999709,0,8
0.615,0.415,4.5,1.75,True,0.0007880000000001219,0,8
0.615,0.415,5.0,1.125,True,0.0011500000000000954,0,8
0.615,0.415,5.0,1.25,True,0.0008720000000000949,0,8
0.615,0.415,5.0,1.3125,True,0.0010080000000000089,0,8
0.615,0.415,5.0,1.375,True,0.0015340000000000353,0,8
0.615,0.415,5.0,1.4375,True,0.0009000000000001229,0,8
0.615,0.415,5.0,1.5,True,0.0014620000000001854,0,8
0.615,0.415,5.0,1.75,True,0.0009879999999999889,0,8
0.615,0.415,5.5,1.125,True,0.0006380000000001385,0,8
0.615,0.415,5.5,1.25,True,0.0010399999999999299,0,8
0.615,0.415,5.5,1.3125,True,0.0009160000000001389,0,8
0.615,0.415,5.5,1.375,True,0.0005319999999999769,0,8
0.615,0.415,5.5,1.4375,True,0.0006880000000000219,0,8
0.615,0.415,5.5,1.5,True,0.00035399999999985443,0,8
0.615,0.415,5.5,1.75,True,0.00032599999999993745,0,8
0.615,0.415,6.0,1.125,True,0.00028200000000000447,0,8
0.615,0.415,6.0,1.25,True,0.0007239999999999469,0,8
0.615,0.415,6.0,1.3125,True,0.00046200000000007346,0,8
0.615,0.415,6.0,1.375,True,0.0005279999999999729,0,8
0.615,0.415,6.0,1.4375,True,0.0006180000000001185,0,8
0.615,0.415,6.0,1.5,True,0.00048800000000004395,0,8
0.615,0.415,6.0,1.75,True,0.000168000000000057,0,8
0.84,0.44,2.5,1.125,True,-0.0030180000000000207,0,8
0.84,0.44,2.5,1.25,False,-0.006970000000000032,1,8
0.84,0.44,2.5,1.3125,False,-0.007027999999999923,1,8
0.84,0.44,2.5,1.375,False,-0.01397999999999977,1,8
0.84,0.44,2.5,1.4375,False,-0.013920000000000043,1,8
0.84,0.44,2.5,1.5,False,-0.015906000000000087,1,8
0.84,0.44,2.5,1.75,False,-0.02299400000000007,2,8
0.84,0.44,3.0,1.125,True,-0.0007739999999999969,0,8
0.84,0.44,3.0,1.25,True,-0.0016140000000000043,0,8
0.84,0.44,3.0,1.3125,True,-0.004220000000000224,0,8
0.84,0.44,3.0,1.375,False,-0.005453999999999848,1,8
0.84,0.44,3.0,1.4375,True,-0.003646000000000149,0,8
0.84,0.44,3.0,1.5,False,-0.007320000000000215,1,8
0.84,0.44,3.0,1.75,False,-0.008231999999999906,1,8
0.84,0.44,3.5,1.125,True,0.0018259999999999943,0,8
0.84,0.44,3.5,1.25,True,0.0012940000000001284,0,8
0.84,0.44,3.5,1.3125,True,0.0006140000000001145,0,8
0.84,0.44,3.5,1.375,True,-0.00025999999999992696,0,8
0.84,0.44,3.5,1.4375,True,-0.0003260000000000485,0,8
0.84,0.44,3.5,1.5,True,0.000132000000000021,0,8
0.84,0.44,3.5,1.75,True,-0.0004099999999997994,0,8
0.84,0.44,4.0,1.125,True,0.0016120000000000578,0,8
0.84,0.44,4.0,1.25,True,0.0018199999999999328,0,8
0.84,0.44,4.0,1.3125,True,0.0022300000000000653,0,8
0.84,0.44,4.0,1.375,True,0.0023980000000001223,0,8
0.84,0.44,4.0,1.4375,True,0.0025600000000000067,0,8
0.84,0.44,4.0,1.5,True,0.00283000000000011,0,8
0.84,0.44,4.0,1.75,True,0.0014700000000000824,0,8
0.84,0.44,4.5,1.125,True,0.0005019999999998914,0,8
0.84,0.44,4.5,1.25,True,0.0013640000000000319,0,8
0.84,0.44,4.5,1.3125,True,0.0012959999999999638,0,8
0.84,0.44,4.5,1.375,True,0.0012099999999999334,0,8
0.84,0.44,4.5,1.4375,True,0.0021559999999999357,0,8
0.84,0.44,4.5,1.5,True,0.0022379999999998512,0,8
0.84,0.44,4.5,1.75,True,0.0007699999999998264,0,8
0.84,0.44,5.0,1.125,True,0.0008059999999999734,0,8
0.84,0.44,5.0,1.25,True,0.0007159999999999389,0,8
0.84,0.44,5.0,1.3125,True,0.0007919999999999039,0,8
0.84,0.44,5.0,1.375,True,0.0006799999999997919,0,8
0.84,0.44,5.0,1.4375,True,0.0018099999999999783,0,8
0.84,0.44,5.0,1.5,True,0.0013879999999998338,0,8
0.84,0.44,5.0,1.75,True,0.0005819999999999714,0,8
0.84,0.44,5.5,1.125,True,0.0008660000000001444,0,8
0.84,0.44,5.5,1.25,True,0.001080000000000192,0,8
0.84,0.44,5.5,1.3125,True,0.000664000000000109,0,8
0.84,0.44,5.5,1.375,True,0.0006059999999998844,0,8
0.84,0.44,5.5,1.4375,True,0.0007860000000000644,0,8
0.84,0.44,5.5,1.5,True,0.0005720000000000169,0,8
0.84,0.44,5.5,1.75,True,0.00019199999999985895,0,8
0.84,0.44,6.0,1.125,True,0.000672000000000117,0,8
0.84,0.44,6.0,1.25,True,0.0001980000000001425,0,8
0.84,0.44,6.0,1.3125,True,0.00045200000000000795,0,8
0.84,0.44,6.0,1.375,True,0.0005439999999998779,0,8
0.84,0.44,6.0,1.4375,True,0.000192000000000081,0,8
0.84,0.44,6.0,1.5,True,0.0003540000000000765,0,8
0.84,0.44,6.0,1.75,True,0.00021000000000004349,0,8
0.945,0.25,2.5,1.125,False,-0.010659999999999947,1,8
0.945,0.25,2.5,1.25,False,-0.02133800000000019,2,8
0.945,0.25,2.5,1.3125,False,-0.025339999999999918,2,8
0.945,0.25,2.5,1.375,False,-0.02571599999999996,1,8
0.945,0.25,2.5,1.4375,False,-0.028309999999999946,1,8
0.945,0.25,2.5,1.5,False,-0.02812199999999998,1,8
0.945,0.25,2.5,1.75,False,-0.010431999999999997,1,8
0.945,0.25,3.0,1.125,True,-5.999999999950489e-06,0,8
0.945,0.25,3.0,1.25,False,-0.007969999999999922,1,8
0.945,0.25,3.0,1.3125,False,-0.006301999999999919,1,8
0.945,0.25,3.0,1.375,True,-0.0033640000000000336,0,8
0.945,0.25,3.0,1.4375,True,-0.003186000000000133,0,8
0.945,0.25,3.0,1.5,True,-0.000452000000000119,0,8
0.945,0.25,3.0,1.75,True,0.0014600000000000168,0,8
0.945,0.25,3.5,1.125,True,0.0023979999999999,0,8
0.945,0.25,3.5,1.25,True,0.004033999999999871,0,8
