p,q,tau,k,beta,gamma,mean_r_inf
0.2222222222222222,0.4444444444444444,5,3,0.3955779199343101,0.1260636334633202,0.68376
0.2222222222222222,0.5,5,4,0.3738013222415488,0.12977267073439736,0.93232
0.3333333333333333,0.0,5,5,0.4866556777511547,0.35217787042403514,0.9849600000000001
0.3333333333333333,0.05555555555555555,5,4,0.31623310007945205,0.12607787296776335,0.9892799999999999
0.3333333333333333,0.1111111111111111,5,5,0.2596204187448141,0.3233563423272295,0.8802
0.3333333333333333,0.16666666666666666,5,5,0.480312194876858,0.14588986792351774,0.9986799999999999
0.3333333333333333,0.2222222222222222,5,4,0.4227189258627264,0.15713883361640052,0.9808800000000002
0.3333333333333333,0.2777777777777778,5,4,0.26222280737761283,0.3057797604566511,0.6032799999999999
0.3333333333333333,0.3333333333333333,5,5,0.2587033459831728,0.1751928763808499,0.94876
0.3333333333333333,0.38888888888888884,5,3,0.3452181401985255,0.13721116386047338,0.6236400000000001
0.3333333333333333,0.4444444444444444,5,3,0.536152499600637,0.22380283563374526,0.7306
0.3333333333333333,0.5,5,3,0.271784612397651,0.20929876906872252,0.24236
0.4444444444444444,0.0,5,4,0.2511006881964958,0.3042328785681838,0.7941199999999999
0.4444444444444444,0.05555555555555555,5,4,0.4628691779570911,0.28436975704009404,0.9621999999999999
0.4444444444444444,0.1111111111111111,5,3,0.505610096608676,0.384255984989981,0.60748
0.4444444444444444,0.16666666666666666,5,4,0.4025689448461222,0.16453685192523917,0.9808
0.4444444444444444,0.2222222222222222,5,3,0.4271473131559982,0.2331132123648409,0.69972
0.4444444444444444,0.2777777777777778,5,5,0.3608552757707018,0.14191851803661684,0.9937999999999999
0.4444444444444444,0.3333333333333333,5,5,0.439756801987162,0.3439977638431089,0.96264
0.4444444444444444,0.38888888888888884,5,3,0.4432893670918207,0.16999795086096534,0.71156
0.4444444444444444,0.4444444444444444,5,3,0.2920235563803846,0.3720194366953777,0.1874
0.4444444444444444,0.5,5,4,0.26479196693048546,0.12492714598351046,0.8229200000000001
0.5555555555555556,0.0,5,5,0.508135376346712,0.3793514491881857,0.9816799999999999
0.5555555555555556,0.05555555555555555,5,5,0.48457326112348087,0.2097151285023544,0.99656
0.5555555555555556,0.1111111111111111,5,4,0.2796604121130296,0.12467861870314642,0.9805200000000001
0.5555555555555556,0.16666666666666666,5,4,0.4602583762544979,0.2857848412763933,0.9511200000000001
0.5555555555555556,0.2222222222222222,5,3,0.29708278681498057,0.3779071864571413,0.19492
0.5555555555555556,0.2777777777777778,5,5,0.5173726123361334,0.27987942501602664,0.9914799999999999
0.5555555555555556,0.3333333333333333,5,5,0.28151665231901807,0.16871212203020847,0.96756
0.5555555555555556,0.38888888888888884,5,4,0.391501101207375,0.31024167806644104,0.8065999999999999
0.5555555555555556,0.4444444444444444,5,4,0.5384218124198078,0.13667512944891863,0.9895999999999999
0.5555555555555556,0.5,5,4,0.47394298909162935,0.18074342479111413,0.9621999999999999
0.6666666666666666,0.0,5,5,0.3110295348055984,0.29352232624784175,0.96044
0.6666666666666666,0.05555555555555555,5,5,0.34545171198747104,0.1599916913435562,0.9956400000000001
0.6666666666666666,0.1111111111111111,5,4,0.3797045118940697,0.1506416277982055,0.98812
0.6666666666666666,0.16666666666666666,5,5,0.31639780188289374,0.14228408949252197,0.9931599999999999
0.6666666666666666,0.2222222222222222,5,3,0.54302114155141,0.20630128020991784,0.89232
0.6666666666666666,0.2777777777777778,5,4,0.27021711226231643,0.24226110433635709,0.77708
0.6666666666666666,0.3333333333333333,5,4,0.4979075152269543,0.16777555308116057,0.9838000000000001
0.6666666666666666,0.38888888888888884,5,3,0.40978026797781936,0.10262187992999489,0.8679600000000001
0.6666666666666666,0.4444444444444444,5,4,0.28472966168619196,0.23269121945808843,0.67588
0.6666666666666666,0.5,5,4,0.3869522135352039,0.2767853620292328,0.7847999999999999
0.7777777777777777,0.0,5,4,0.290999711300321,0.31002299038441095,0.8428000000000001
0.7777777777777777,0.05555555555555555,5,4,0.5290356142435944,0.17873126132352926,0.9949600000000001
0.7777777777777777,0.1111111111111111,5,4,0.5258219336734342,0.231604332461393,0.98468
0.7777777777777777,0.16666666666666666,5,5,0.3992222121383198,0.2748612802745272,0.9772400000000001
0.7777777777777777,0.2222222222222222,5,4,0.31781276473464565,0.34977691092617985,0.7038
0.7777777777777777,0.2777777777777778,5,5,0.37279121485117966,0.3824125370884697,0.90992
0.7777777777777777,0.3333333333333333,5,4,0.5201893015374093,0.14715765197241634,0.98996
0.7777777777777777,0.38888888888888884,5,5,0.5422685958809361,0.14128170880787896,0.9988400000000001
0.7777777777777777,0.4444444444444444,5,4,0.47741728078524925,0.3510693567420545,0.8521599999999999
