p,q,tau,mean_r_inf
0.3684210526315789,0.5,5,0.46130000000000004
0.42105263157894735,0.0,5,0.8272999999999999
0.42105263157894735,0.02631578947368421,5,0.8
0.42105263157894735,0.05263157894736842,5,0.7969
0.42105263157894735,0.07894736842105263,5,0.7691000000000001
0.42105263157894735,0.10526315789473684,5,0.7393000000000001
0.42105263157894735,0.13157894736842105,5,0.7453000000000001
0.42105263157894735,0.15789473684210525,5,0.7256
0.42105263157894735,0.18421052631578946,5,0.7005999999999999
0.42105263157894735,0.21052631578947367,5,0.6448
0.42105263157894735,0.23684210526315788,5,0.6454
0.42105263157894735,0.2631578947368421,5,0.6342000000000001
0.42105263157894735,0.2894736842105263,5,0.5767
0.42105263157894735,0.3157894736842105,5,0.6084
0.42105263157894735,0.3421052631578947,5,0.5683
0.42105263157894735,0.3684210526315789,5,0.55
0.42105263157894735,0.39473684210526316,5,0.5397000000000001
0.42105263157894735,0.42105263157894735,5,0.5241
0.42105263157894735,0.4473684210526315,5,0.5408999999999999
0.42105263157894735,0.47368421052631576,5,0.4862
0.42105263157894735,0.5,5,0.476
0.47368421052631576,0.0,5,0.8399000000000001
0.47368421052631576,0.02631578947368421,5,0.8237
0.47368421052631576,0.05263157894736842,5,0.8004
0.47368421052631576,0.07894736842105263,5,0.7901
0.47368421052631576,0.10526315789473684,5,0.735
0.47368421052631576,0.13157894736842105,5,0.7297
0.47368421052631576,0.15789473684210525,5,0.7114
0.47368421052631576,0.18421052631578946,5,0.6756
0.47368421052631576,0.21052631578947367,5,0.6487999999999998
0.47368421052631576,0.23684210526315788,5,0.6716
0.47368421052631576,0.2631578947368421,5,0.6078
0.47368421052631576,0.2894736842105263,5,0.6177999999999999
0.47368421052631576,0.3157894736842105,5,0.5944999999999999
0.47368421052631576,0.3421052631578947,5,0.5904
0.47368421052631576,0.3684210526315789,5,0.5564
0.47368421052631576,0.39473684210526316,5,0.556
0.47368421052631576,0.42105263157894735,5,0.5026
0.47368421052631576,0.4473684210526315,5,0.49079999999999996
0.47368421052631576,0.47368421052631576,5,0.5177000000000002
0.47368421052631576,0.5,5,0.4665
0.5263157894736842,0.0,5,0.8375999999999999
0.5263157894736842,0.02631578947368421,5,0.8167000000000002
0.5263157894736842,0.05263157894736842,5,0.7915000000000001
0.5263157894736842,0.07894736842105263,5,0.7825
0.5263157894736842,0.10526315789473684,5,0.7582
0.5263157894736842,0.13157894736842105,5,0.7470000000000001
0.5263157894736842,0.15789473684210525,5,0.7163
0.5263157894736842,0.18421052631578946,5,0.7061999999999999
0.5263157894736842,0.21052631578947367,5,0.6771
0.5263157894736842,0.23684210526315788,5,0.6771
0.5263157894736842,0.2631578947368421,5,0.6105
0.5263157894736842,0.2894736842105263,5,0.578
0.5263157894736842,0.3157894736842105,5,0.5783
0.5263157894736842,0.3421052631578947,5,0.5434
0.5263157894736842,0.3684210526315789,5,0.5302
0.5263157894736842,0.39473684210526316,5,0.49349999999999994
0.5263157894736842,0.42105263157894735,5,0.5084
0.5263157894736842,0.4473684210526315,5,0.4986
0.5263157894736842,0.47368421052631576,5,0.49879999999999997
0.5263157894736842,0.5,5,0.4675999999999999
0.5789473684210527,0.0,5,0.8320000000000001
0.5789473684210527,0.02631578947368421,5,0.8309
0.5789473684210527,0.05263157894736842,5,0.7963
0.5789473684210527,0.07894736842105263,5,0.7814
0.5789473684210527,0.10526315789473684,5,0.7487
0.5789473684210527,0.13157894736842105,5,0.7347
0.5789473684210527,0.15789473684210525,5,0.7138
0.5789473684210527,0.18421052631578946,5,0.6910999999999999
0.5789473684210527,0.21052631578947367,5,0.6776000000000001
0.5789473684210527,0.23684210526315788,5,0.6715
0.5789473684210527,0.2631578947368421,5,0.6308999999999999
0.5789473684210527,0.2894736842105263,5,0.5851999999999999
0.5789473684210527,0.3157894736842105,5,0.5895
0.5789473684210527,0.3421052631578947,5,0.5538000000000001
0.5789473684210527,0.3684210526315789,5,0.5542
0.5789473684210527,0.39473684210526316,5,0.5133
0.5789473684210527,0.42105263157894735,5,0.4676
0.5789473684210527,0.4473684210526315,5,0.4798
0.5789473684210527,0.47368421052631576,5,0.5075999999999999
0.5789473684210527,0.5,5,0.42960000000000004
0.631578947368421,0.0,5,0.8348000000000001
0.631578947368421,0.02631578947368421,5,0.8170000000000002
0.631578947368421,0.05263157894736842,5,0.7975000000000001
0.631578947368421,0.07894736842105263,5,0.7908000000000001
0.631578947368421,0.10526315789473684,5,0.7884000000000001
0.631578947368421,0.13157894736842105,5,0.7708
0.631578947368421,0.15789473684210525,5,0.7211
0.631578947368421,0.18421052631578946,5,0.7032
0.631578947368421,0.21052631578947367,5,0.7017
0.631578947368421,0.23684210526315788,5,0.6618999999999999
0.631578947368421,0.2631578947368421,5,0.6291999999999999
0.631578947368421,0.2894736842105263,5,0.5833
0.631578947368421,0.3157894736842105,5,0.5944
0.631578947368421,0.3421052631578947,5,0.5949000000000001
0.631578947368421,0.3684210526315789,5,0.5579
0.631578947368421,0.39473684210526316,5,0.5023
0.631578947368421,0.42105263157894735,5,0.4852
0.631578947368421,0.4473684210526315,5,0.477
0.631578947368421,0.47368421052631576,5,0.46529999999999994
0.631578947368421,0.5,5,0.43019999999999997
0.6842105263157894,0.0,5,0.8282999999999999
0.6842105263157894,0.02631578947368421,5,0.8155999999999999
0.6842105263157894,0.05263157894736842,5,0.7967000000000001
0.6842105263157894,0.07894736842105263,5,0.7766
0.6842105263157894,0.10526315789473684,5,0.7474999999999999
0.6842105263157894,0.13157894736842105,5,0.7441000000000001
0.6842105263157894,0.15789473684210525,5,0.7268
0.6842105263157894,0.18421052631578946,5,0.6961999999999999
0.6842105263157894,0.21052631578947367,5,0.6742
0.6842105263157894,0.23684210526315788,5,0.6687000000000001
0.6842105263157894,0.2631578947368421,5,0.625
0.6842105263157894,0.2894736842105263,5,0.6201
0.6842105263157894,0.3157894736842105,5,0.5811000000000001
