tau,delay,p,q,mean_final_epidemic_fraction,std_final_epidemic_fraction
3,0.0,0.25,0.4375,0.33999999999999997,0.1120267825120404
3,0.0,0.25,0.4583333333333333,0.33599999999999997,0.11865917579353062
3,0.0,0.25,0.47916666666666663,0.312,0.08408329203831164
3,0.0,0.25,0.5,0.302,0.06220932405998315
3,0.0,0.29166666666666663,0.0,0.874,0.02073644135332774
3,0.0,0.29166666666666663,0.020833333333333332,0.8400000000000001,0.12589678312014171
3,0.0,0.29166666666666663,0.041666666666666664,0.8939999999999999,0.10644247272588139
3,0.0,0.29166666666666663,0.0625,0.79,0.12349089035228468
3,0.0,0.29166666666666663,0.08333333333333333,0.76,0.16124515496597097
3,0.0,0.29166666666666663,0.10416666666666666,0.8240000000000001,0.04037325847637269
3,0.0,0.29166666666666663,0.125,0.85,0.05000000000000002
3,0.0,0.29166666666666663,0.14583333333333331,0.6300000000000001,0.16926310879810758
3,0.0,0.29166666666666663,0.16666666666666666,0.69,0.20820662813657015
3,0.0,0.29166666666666663,0.1875,0.6280000000000001,0.11366617790706257
3,0.0,0.29166666666666663,0.20833333333333331,0.5640000000000001,0.06767569726275453
3,0.0,0.29166666666666663,0.22916666666666666,0.6200000000000001,0.15346009253222806
3,0.0,0.29166666666666663,0.25,0.6699999999999999,0.15247950681976905
3,0.0,0.29166666666666663,0.2708333333333333,0.668,0.1279453008124956
3,0.0,0.29166666666666663,0.29166666666666663,0.6120000000000001,0.1634625339336204
3,0.0,0.29166666666666663,0.3125,0.548,0.18185158784019456
3,0.0,0.29166666666666663,0.3333333333333333,0.5,0.21201415047114192
3,0.0,0.29166666666666663,0.35416666666666663,0.4800000000000001,0.17204650534085253
3,0.0,0.29166666666666663,0.375,0.44000000000000006,0.10606601717798213
3,0.0,0.29166666666666663,0.3958333333333333,0.392,0.09628083921528727
3,0.0,0.29166666666666663,0.41666666666666663,0.354,0.07197221686178631
3,0.0,0.29166666666666663,0.4375,0.35,0.10839741694339401
3,0.0,0.29166666666666663,0.4583333333333333,0.334,0.10549881515922348
3,0.0,0.29166666666666663,0.47916666666666663,0.334,0.10549881515922348
3,0.0,0.29166666666666663,0.5,0.33,0.11979148550710941
