p,q,tau,k,beta,gamma,mean_r_inf
0.4444444444444444,0.4444444444444444,5,3,0.2516799889992644,0.20592326676621076,0.23168
0.4444444444444444,0.5,5,5,0.46022781906237276,0.3467078221226832,0.95992
0.5555555555555556,0.0,5,3,0.2761548510604288,0.3781025656150347,0.26336
0.5555555555555556,0.05555555555555555,5,5,0.44268470276430766,0.23215796918039097,0.99344
0.5555555555555556,0.1111111111111111,5,5,0.3972525698832315,0.2567938060616163,0.9864799999999999
0.5555555555555556,0.16666666666666666,5,5,0.49059602369475297,0.14852357009529032,0.99912
0.5555555555555556,0.2222222222222222,5,5,0.4017688945166605,0.3999213648587557,0.9309599999999999
0.5555555555555556,0.2777777777777778,5,4,0.5349132908653936,0.13672304267048574,0.99456
0.5555555555555556,0.3333333333333333,5,5,0.5410382299839237,0.22093001410003055,0.9960799999999999
0.5555555555555556,0.38888888888888884,5,3,0.3188945249399353,0.1076192061809173,0.6903199999999999
0.5555555555555556,0.4444444444444444,5,4,0.3146537012506104,0.1793591110674441,0.8448
0.5555555555555556,0.5,5,4,0.2611706090825059,0.21235349794418296,0.56024
0.6666666666666666,0.0,5,4,0.47742142315521946,0.17085258819668472,0.99456
0.6666666666666666,0.05555555555555555,5,3,0.3636007408281852,0.2932212625563931,0.5588799999999999
0.6666666666666666,0.1111111111111111,5,5,0.3353060804323795,0.3602750436738036,0.92904
0.6666666666666666,0.16666666666666666,5,3,0.4838104795763085,0.10851243507016478,0.9760000000000001
0.6666666666666666,0.2222222222222222,5,5,0.5008049761648115,0.3720147733435031,0.9733599999999999
0.6666666666666666,0.2777777777777778,5,4,0.32896357464936044,0.34548559071856105,0.68112
0.6666666666666666,0.3333333333333333,5,5,0.44276372635373296,0.36903215263339034,0.9544
0.6666666666666666,0.38888888888888884,5,3,0.4319253739125796,0.1594279984863947,0.73992
0.6666666666666666,0.4444444444444444,5,5,0.48796730233907354,0.15150353452623133,0.9967999999999999
0.6666666666666666,0.5,5,4,0.4045782246315335,0.39287689019163435,0.596
0.7777777777777777,0.0,5,3,0.4706180406449309,0.2871401929941456,0.80584
0.7777777777777777,0.05555555555555555,5,3,0.3306812163339156,0.2601400025769149,0.5857600000000001
0.7777777777777777,0.1111111111111111,5,4,0.3335246066805178,0.16564521856009184,0.9739999999999999
0.7777777777777777,0.16666666666666666,5,4,0.27852115841008895,0.24724675437909635,0.8364800000000001
0.7777777777777777,0.2222222222222222,5,5,0.45475056019929333,0.3410692507559216,0.9718399999999998
0.7777777777777777,0.2777777777777778,5,3,0.48634432700029523,0.15035191665620357,0.9213600000000001
0.7777777777777777,0.3333333333333333,5,4,0.45001327661860124,0.20005845187806492,0.9692000000000001
0.7777777777777777,0.38888888888888884,5,4,0.34215959273830754,0.2938310664382507,0.73576
0.7777777777777777,0.4444444444444444,5,4,0.514676247442338,0.2078322001736556,0.9647200000000001
0.7777777777777777,0.5,5,5,0.28898481814654764,0.3263964552918285,0.7620800000000001
0.8888888888888888,0.0,5,3,0.4036445662950947,0.16798549551257147,0.9324000000000001
0.8888888888888888,0.05555555555555555,5,4,0.5188450982683184,0.2414869430500684,0.9815199999999998
0.8888888888888888,0.1111111111111111,5,5,0.38114295412830745,0.10203355694553533,0.99944
0.8888888888888888,0.16666666666666666,5,3,0.4230275022750526,0.3075271857676856,0.5493600000000001
0.8888888888888888,0.2222222222222222,5,3,0.2766151071487123,0.27891435227625877,0.20864000000000002
0.8888888888888888,0.2777777777777778,5,3,0.44398771110780944,0.21021710565829688,0.7407199999999999
0.8888888888888888,0.3333333333333333,5,3,0.5199088082359227,0.2663411354951656,0.6801599999999999
0.8888888888888888,0.38888888888888884,5,4,0.36220184572453007,0.17993745028572414,0.9344
0.8888888888888888,0.4444444444444444,5,3,0.40268580329119313,0.21569370711915364,0.44864
0.8888888888888888,0.5,5,3,0.34198177289657367,0.34075653154600094,0.25880000000000003
1.0,0.0,5,4,0.29032518494882587,0.1333739387284491,0.9885600000000001
1.0,0.05555555555555555,5,5,0.27525280725631684,0.16230220550438085,0.9887999999999999
1.0,0.1111111111111111,5,3,0.35228555071510026,0.37864558598957554,0.32055999999999996
1.0,0.16666666666666666,5,5,0.44463919161313165,0.19026246671406274,0.9962399999999998
1.0,0.2222222222222222,5,4,0.4352752407101381,0.11524367545607832,0.9952799999999999
1.0,0.2777777777777778,5,4,0.43690308653667526,0.22957822629165914,0.96072
1.0,0.3333333333333333,5,4,0.42247382484842866,0.2664340428836377,0.9172800000000001
1.0,0.38888888888888884,5,4,0.3250393052748533,0.2045272985823401,0.8795200000000001
1.0,0.4444444444444444,5,4,0.26580604265854135,0.3579290966959763,0.32359999999999994
1.0,0.5,5,3,0.2917537687668117,0.3306907300635862,0.21319999999999997
